grp,condition_id,n,sum_edge
band f. 80-90c,0x8f6e71601903224dc29c69b886a63f248c8051be259e7db299850708f1f86dd6,4,0.714522
all sells,0x174e560a18315e18083b8cbd8fafe975c409e552b0f112a45aec885ba2ae51fd,1,-0.463308
all sells,0x403907cdb844137c6289b05bc846757de3c3ebb135b4003f416429beaa884aaa,1,0.290000
band e. 60-80c,0x1e3e02da1749eed46ab0eb607c55ccfb2fb1c15ffbb6f9b4b05d7933f558789a,1,0.360000
band d. 40-60c,0xd031390e07cdb3570d87c5a4248a36f5f3b78c80d93e4d7759944ab3b89858b9,1,-0.458362
all sells,0x0637b509a471403f6b0057c915c45885e139b78189c081ea6d16c095e3322c62,2,0.276126
band g. 90-98c,0xc4ab290eb72bdc5422c72c0d072de2a5164de53f9fe49ced3869a9e436b9bafd,1,0.049621
all sells,0x2583db2dbd70a65cf9b68bf6f42178e832941348de05cd74710401c13b13c208,1,0.190826
all sells,0xb83155f1fb664084d8e94ac348768db402fe6965eff02c268b87c2c30d8c0463,1,0.482173
band c. 20-40c,0x2037b257e602784d35e800c8c7880f56331791e03aaacae5864d8a78db303948,1,0.724016
all sells,0xd102c33720f69d795c7d21cc86824c20903cdf4c30acff62168b5ea246684e57,2,0.409208
band f. 80-90c,0x4fd23edbe70bf96210fb1cda09dc663f5503045aed574929afef75a8187fc8ce,1,0.139955
all sells,0x8e4ef7519b5dc20cebc4c19a07abae587e4abf889e415169ec6b1477d796e1b5,1,-0.280000
all sells,0x2e791d02bc647896582da01babb92acaa3f9b09807f71cb81b135b3871d0580b,1,0.135808
all sells,0x47eaa7576cc23623fc0ff56db418b7aa485f0151b6bb52a3e6ece4033114174f,1,0.130000
band d. 40-60c,0xc1109800f5de195bbbbaf81b783de4792b6a8a2fbe9b604c715a39c5ae2a2a47,2,-0.020000
all sells,0x828bbd76d11f4444cf75706d74ea0a78d5c29678b8028b15c6668aa8a242b693,1,0.133871
all sells,0x9059a7783af038d5b7a177876ecaea2810f14c37473e802fbb4e2446b2d7e436,1,0.170000
all sells,0x22c229dc2d6ff04c5e0f4f2c5f8e56fc9a6a2b0bfbf2e8fe74dd2604508423cd,1,0.280000
band e. 60-80c,0xcd2640464754b9a894ffec98ac11554fdd507ea89ca01237eabb3a6de4a606e6,5,-3.349681
band b. 10-20c,0xe4bb8ed295d32c76e084b55b72b410f0d9dd862015cd28c8a3c243c903a5cd85,1,0.820481
band g. 90-98c,0xbfe5dd0ac5320447e48b1944366025ba23b1f7cd69ff55e6ec3f4c3c57c26dd6,16,-7.693844
all sells,0x226e885e5380a6fd143cf8aec4d4d7ce7feece4625cc2301f450655f377f8847,7,0.351000
all sells,0x61a442039dc634b44f4723d3189950e2463b375a04f3d00b3ffe4b59f92056f0,1,0.563357
band e. 60-80c,0xd6186948bef90b9a69a12fe759f418bcaf113b0308cf27e6bacd70932ed697b1,1,0.210000
all sells,0xd4ee0bd3846fc0b6e6540cf6cc13fe3b4e97e51df58b55b1ee79b6ede49674c7,1,0.046916
all sells,0xd6ab2e87528f45361a9db928d0cf7507df6ac5aff623bc00fb88232bd9f86f0e,1,-0.520000
all sells,0xb155c59a07f8bb1d4806e1cc51a4156ed0f0d163102b63c24ad4e973775ceb65,12,-3.361651
band e. 60-80c,0x0dbd018277c5efdd8b5d40f3231e321843dbc63c8681179d2b64361117a4d0a0,1,0.220000
all sells,0x86cc09f9e1fd26b2a9e941261d3c129467ec793d72d1d510068b45ecdb7cc539,3,0.057705
band f. 80-90c,0xb76d5822657216ad27fa0652854557b4c1878417ae3381317ba5224bfc2f0db2,1,0.170000
band g. 90-98c,0x3648f72916e45478c2fe55de48783986d63091891f2625cd987329420e6382f2,3,0.190000
